Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 716680292quid (%),Pump Intake Pressure (psi (g)),
Arta\Arta-24.011,08/06/17 - 09:30,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1793,1406,78,554.7,
Arta\Arta-24.012,08/07/17 - 09:10,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1164,1164,100,456.7,
Arta\Arta-24.013,08/13/17 - 08:37,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1229,1143,93,448.7,
Arta\Arta-24.014,08/16/17 - 09:07,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2450,1773,72,697.3,
Arta\Arta-24.015,08/21/17 - 11:07,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1190,1128,95,439.2,
Arta\Arta-24.016,08/31/17 - 08:31,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1800,1560,87,614.4,
Arta\Arta-24.017,09/04/17 - 08:44,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2361,2046,87,801.5,
Arta\Arta-24.018,09/06/17 - 09:29,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1719,1465,85,577.1,
Arta\Arta-24.019,09/11/17 - 09:08,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2377,2192,92,856.9,
Arta\Arta-24.020,09/18/17 - 09:58,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1224,1224,100,482.0,
Arta\Arta-24.021,09/20/17 - 09:03,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1167,1167,100,460.5,
Arta\Arta-24.022,09/27/17 - 09:09,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1527,1527,100,601.1,
Arta\Arta-24.023,10/04/17 - 09:30,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1292,1292,100,505.7,
Arta\Arta-24.024,10/09/17 - 08:40,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1204,1204,100,471.7,
Arta\Arta-24.025,10/16/17 - 09:51,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1188,1188,100,465.5,
Arta\Arta-24.026,10/23/17 - 09:30,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1266,1266,100,495.7,
Arta\Arta-24.027,11/01/17 - 09:27,Arta-24,3.500,X,3627.00,3627.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1283,1283,100,506.0,
Arta\Arta-24.028,11/03/17 - 09:19,Arta-24,3.500,X,3627.00,3627.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1325,1325,100,522.5,
Arta\Arta-24.029,11/05/17 - 09:21,Arta-24,3.500,X,3627.00,3627.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1283,1238,97,488.2,
Arta\Arta-24.030,11/06/17 - 09:39,Arta-24,3.500,X,3627.00,3627.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1262,1262,100,497.5,
Arta\Arta-24.031,11/07/17 - 08:51,Arta-24,3.500,X,3627.00,3627.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1323,1323,100,520.9,
Arta\Arta-24.032,11/12/17 - 09:44,Arta-24,3.500,X,3627.00,3627.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1386,1386,100,546.4,
Arta\Arta-24.033,11/21/17 - 08:13,Arta-24,3.500,X,3627.00,3627.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1423,1423,100,560.7,
