Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-797585780quid (%),Pump Intake Pressure (psi (g)),
Hana\Hana-16   (3).016,08/16/18 - 14:48,Hana-16   (3),3.500,2.750,4904.00,4904.00,0.04879,0.04879,4866.50,4866.50,45.0,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1804,1804,100,676.4,
Hana\Hana-16   (3).017,08/23/18 - 11:11,Hana-16   (3),3.500,2.750,4904.00,4904.00,0.04879,0.04879,4866.50,4866.50,45.0,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1836,1836,100,687.0,
Hana\Hana-16   (3).018,09/13/18 - 16:32,Hana-16   (3),3.500,2.750,4904.00,4904.00,0.04879,0.04879,4866.50,4866.50,45.0,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1854,1854,100,694.8,
Hana\Hana-16   (3).019,09/25/18 - 14:23,Hana-16   (3),3.500,2.750,4904.00,4904.00,0.04879,0.04879,4866.50,4866.50,45.0,25,1.05,X,X,144.000,X,09/25/18 - 14:37,23237,6346,10036,-747,20.4,128.1,6.498,96.41,123.5,707.5,746.5,X,22,12558,10922,9749,13382,1860,1860,100,697.0,
Hana\Hana-16   (3).020,11/01/18 - 10:27,Hana-16   (3),3.500,2.750,4904.00,4904.00,0.04879,0.04879,4866.50,4866.50,45.0,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2079,2079,100,777.6,
Hana\Hana-16   (3).021,11/06/18 - 10:42,Hana-16   (3),3.500,2.750,4904.00,4904.00,0.04879,0.04879,4866.50,4866.50,45.0,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2984,2984,100,1107.7,
Hana\Hana-16   (3).022,11/09/18 - 14:06,Hana-16   (3),3.500,2.750,4904.00,4904.00,0.04879,0.04879,4866.50,4866.50,45.0,25,1.05,X,X,144.000,X,11/09/18 - 14:13,22070,4579,8829,-1703,15.9,158.2,6.207,100.00,158.2,866.0,1703.4,X,15,15467,10922,9291,13382,2959,2820,95,1049.3,
Hana\Hana-16   (3).023,11/11/18 - 11:02,Hana-16   (3),3.500,2.750,4904.00,4904.00,0.04879,0.04879,4866.50,4866.50,45.0,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3165,3165,100,1174.3,
Hana\Hana-16   (3).024,11/21/18 - 11:12,Hana-16   (3),3.500,2.750,4904.00,4904.00,0.04879,0.04879,4866.50,4866.50,45.0,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2229,2229,100,832.8,
Hana\Hana-16   (3).025,12/17/18 - 11:18,Hana-16   (3),3.500,2.750,4904.00,4904.00,0.04879,0.04879,4866.50,4866.50,45.0,25,1.05,X,X,144.000,X,12/17/18 - 11:25,23076,7038,10201,-469,18.5,125.4,5.960,93.63,117.4,617.3,468.8,X,0,22599,10922,16884,13382,1829,1802,98,675.7,
