Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 1343664010quid (%),Pump Intake Pressure (psi (g)),
Hana-West\Hana-W-10 new.192,08/22/18 - 11:32,Hana-W-10 new,3.500,3.750,2962.00,2962.00,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,X,144.000,75,08/22/18 - 11:45,9591,6443,1093,-200,3.2,145.7,4.813,100.00,145.7,1150.0,200.4,X,12,8318,7733,7733,14792,1983,1983,100,757.5,
Hana-West\Hana-W-10 new.193,08/27/18 - 13:54,Hana-W-10 new,3.500,3.750,2962.00,2962.00,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,X,144.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2350,2350,100,885.8,
Hana-West\Hana-W-10 new.194,08/27/18 - 13:57,Hana-W-10 new,3.500,3.750,2962.00,2962.00,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,X,144.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2423,2423,100,923.7,
Hana-West\Hana-W-10 new.195,08/27/18 - 16:42,Hana-W-10 new,3.500,3.750,2962.00,2962.00,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,X,144.000,75,08/27/18 - 16:42,9140,5854,653,-860,2.4,145.7,4.932,100.00,145.7,1178.1,859.8,X,22,6479,7733,6085,14792,X,X,X,X,
Hana-West\Hana-W-10 new.196,08/30/18 - 16:25,Hana-W-10 new,3.500,3.750,2962.00,2962.00,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,X,144.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1968,1968,100,753.6,
Hana-West\Hana-W-10 new.197,09/01/18 - 07:46,Hana-W-10 new,3.500,3.750,3005.47,3005.47,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,1.28e+006,144.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2134,2134,100,814.9,
Hana-West\Hana-W-10 new.198,09/28/18 - 13:41,Hana-W-10 new,3.500,3.750,3005.47,3005.47,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,1.28e+006,144.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2510,2510,100,958.7,
Hana-West\Hana-W-10 new.199,10/29/18 - 14:59,Hana-W-10 new,3.500,3.750,3005.47,3005.47,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,1.28e+006,144.000,75,10/29/18 - 15:06,19720,3535,10465,-1271,19.2,139.3,6.316,98.65,137.4,1423.2,1270.9,1479600.6,0,9908,7984,5955,15009,2090,2090,100,799.4,
Hana-West\Hana-W-10 new.200,12/17/18 - 11:36,Hana-W-10 new,3.500,3.750,3005.47,3005.47,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,1.28e+006,144.000,75,12/17/18 - 11:43,22532,3979,13584,-536,25.0,134.8,6.040,97.48,131.4,1301.2,536.2,1665309.1,0,15870,7904,10148,15009,1382,1382,100,531.0,
Hana-West\Hana-W-10 new.201,12/20/18 - 11:12,Hana-W-10 new,3.500,3.750,3005.47,3005.47,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,1.28e+006,144.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1347,1287,96,495.0,
Hana-West\Hana-W-10 new.202,12/27/18 - 16:09,Hana-W-10 new,3.500,3.750,3005.47,3005.47,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,1.28e+006,144.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1369,1369,100,526.0,
Hana-West\Hana-w-11 (2).003,01/13/18 - 10:10,Hana-11,3.500,2.250,4902.00,4902.00,0.05051,0.05051,4923.00,4923.00,X,24.9,1.05,X,912000,144.563,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3771,3771,100,1391.7,
Hana-West\Hana-w-11 (2).004,01/20/18 - 08:46,Hana-11,3.500,2.250,4902.00,4902.00,0.05051,0.05051,4923.00,4923.00,X,24.9,1.05,X,912000,144.563,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3764,3764,100,1388.9,
Hana-West\Hana-w-11 (2).005,01/27/18 - 08:51,Hana-11,3.500,2.250,4902.00,4902.00,0.05051,0.05051,4923.00,4923.00,X,24.9,1.05,X,912000,144.563,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3762,3762,100,1388.9,
Hana-West\Hana-w-11 (2).006,02/16/18 - 11:09,Hana-11,3.500,2.750,4817.00,4817.00,0.05051,0.05051,5040.00,5040.00,50.0,24,1.05,X,X,144.000,X,02/16/18 - 11:16,17885,7257,4722,-575,12.4,138.5,6.452,97.49,135.0,768.0,574.9,X,0,11558,11078,9149,12992,3747,3747,100,1393.7,
Hana-West\Hana-w-11 (2).007,02/24/18 - 08:02,Hana-11,3.500,2.750,4817.00,4817.00,0.05051,0.05051,5040.00,5040.00,50.0,24,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3796,3796,100,1411.6,
